accessible                              \uf6ea
ad                                      \uf6eb
ad-circle                               \uf7d3
adjustments                             \uf6ec
adjustments-horizontal                  \u101e7
aerial-lift                             \u10101
affiliate                               \uf6ed
air-balloon                             \u10100
alarm                                   \uf709
alarm-minus                             \uf70a
alarm-plus                              \uf70b
alarm-snooze                            \uf70c
alert-circle                            \uf6ee
alert-hexagon                           \ufa34
alert-octagon                           \uf6ef
alert-square                            \ufa35
alert-square-rounded                    \ufa36
alert-triangle                          \uf6f0
alien                                   \uf70d
align-box-bottom-center                 \uf70e
align-box-bottom-left                   \uf70f
align-box-bottom-right                  \uf710
align-box-center-middle                 \uf7d4
align-box-left-bottom                   \uf711
align-box-left-middle                   \uf712
align-box-left-top                      \uf713
align-box-right-bottom                  \uf714
align-box-right-middle                  \uf7d5
align-box-right-top                     \uf715
align-box-top-center                    \uf716
align-box-top-left                      \uf717
align-box-top-right                     \uf718
analyze                                 \uf719
app-window                              \uf71a
apple                                   \u10017
apps                                    \uf6f1
archive                                 \ufa82
arrow-autofit-content                   \uf6f2
arrow-autofit-down                      \u10113
arrow-autofit-height                    \u10112
arrow-autofit-left                      \u10111
arrow-autofit-right                     \u10110
arrow-autofit-up                        \u1010f
arrow-autofit-width                     \u1010e
arrow-badge-down                        \uf7d6
arrow-badge-left                        \uf7d7
arrow-badge-right                       \uf7d8
arrow-badge-up                          \uf7d9
arrow-big-down                          \uf6c6
arrow-big-down-line                     \uf6c7
arrow-big-down-lines                    \uf6c8
arrow-big-left                          \uf6c9
arrow-big-left-line                     \uf6ca
arrow-big-left-lines                    \uf6cb
arrow-big-right                         \uf6cc
arrow-big-right-line                    \uf6cd
arrow-big-right-lines                   \uf6ce
arrow-big-up                            \uf6cf
arrow-big-up-line                       \uf6d0
arrow-big-up-lines                      \uf6d1
arrow-down-circle                       \u1003b
arrow-down-rhombus                      \u1003a
arrow-down-square                       \u10039
arrow-guide                             \u10038
arrow-left-circle                       \u10037
arrow-left-rhombus                      \u10036
arrow-left-square                       \u10035
arrow-move-down                         \u10034
arrow-move-left                         \u10033
arrow-move-right                        \u10032
arrow-move-up                           \u10031
arrow-right-circle                      \u10030
